timestamp,team_name,value
2025-08-01 04:00:00,Arizona,
2025-08-01 04:00:00,Atlanta,
2025-08-01 04:00:00,Baltimore,
2025-08-01 04:00:00,Buffalo,
2025-08-01 04:00:00,Carolina,
2025-08-01 04:00:00,Chicago,
2025-08-01 04:00:00,Cincinnati,
2025-08-01 04:00:00,Cleveland,
2025-08-01 04:00:00,Dallas,170.0
2025-08-01 04:00:00,Denver,260.0
2025-08-01 04:00:00,Detroit,
2025-08-01 04:00:00,Green Bay,
2025-08-01 04:00:00,Houston,
2025-08-01 04:00:00,Indianapolis,160.0
2025-08-01 04:00:00,Jacksonville,
2025-08-01 04:00:00,Kansas City,380.0
2025-08-01 04:00:00,Las Vegas,
2025-08-01 04:00:00,Los Angeles C,
2025-08-01 04:00:00,Los Angeles R,
2025-08-01 04:00:00,Miami,
2025-08-01 04:00:00,Minnesota,
2025-08-01 04:00:00,New England,180.0
2025-08-01 04:00:00,New Orleans,
2025-08-01 04:00:00,New York G,65.0
2025-08-01 04:00:00,New York J,
2025-08-01 04:00:00,Philadelphia,
2025-08-01 04:00:00,Pittsburgh,
2025-08-01 04:00:00,San Francisco,
2025-08-01 04:00:00,Seattle,180.0
2025-08-01 04:00:00,Tampa Bay,
2025-08-01 04:00:00,Tennessee,
2025-08-01 04:00:00,Washington,
2025-08-02 04:00:00,Arizona,
2025-08-02 04:00:00,Atlanta,
2025-08-02 04:00:00,Baltimore,
2025-08-02 04:00:00,Buffalo,420.0
2025-08-02 04:00:00,Carolina,
2025-08-02 04:00:00,Chicago,
2025-08-02 04:00:00,Cincinnati,280.00000000000006
2025-08-02 04:00:00,Cleveland,
2025-08-02 04:00:00,Dallas,170.0
2025-08-02 04:00:00,Denver,260.0
2025-08-02 04:00:00,Detroit,
2025-08-02 04:00:00,Green Bay,
2025-08-02 04:00:00,Houston,289.99999999999994
2025-08-02 04:00:00,Indianapolis,160.0
2025-08-02 04:00:00,Jacksonville,190.0
2025-08-02 04:00:00,Kansas City,390.0
2025-08-02 04:00:00,Las Vegas,130.0
2025-08-02 04:00:00,Los Angeles C,289.99999999999994
2025-08-02 04:00:00,Los Angeles R,289.99999999999994
2025-08-02 04:00:00,Miami,
2025-08-02 04:00:00,Minnesota,240.0
2025-08-02 04:00:00,New England,180.0
2025-08-02 04:00:00,New Orleans,
2025-08-02 04:00:00,New York G,65.0
2025-08-02 04:00:00,New York J,100.0
2025-08-02 04:00:00,Philadelphia,
2025-08-02 04:00:00,Pittsburgh,220.0
2025-08-02 04:00:00,San Francisco,
2025-08-02 04:00:00,Seattle,180.0
2025-08-02 04:00:00,Tampa Bay,
2025-08-02 04:00:00,Tennessee,100.0
2025-08-02 04:00:00,Washington,
2025-08-03 04:00:00,Arizona,
2025-08-03 04:00:00,Atlanta,
2025-08-03 04:00:00,Baltimore,
2025-08-03 04:00:00,Buffalo,420.0
2025-08-03 04:00:00,Carolina,
2025-08-03 04:00:00,Chicago,
2025-08-03 04:00:00,Cincinnati,280.00000000000006
2025-08-03 04:00:00,Cleveland,
2025-08-03 04:00:00,Dallas,170.0
2025-08-03 04:00:00,Denver,260.0
2025-08-03 04:00:00,Detroit,
2025-08-03 04:00:00,Green Bay,
2025-08-03 04:00:00,Houston,289.99999999999994
2025-08-03 04:00:00,Indianapolis,160.0
2025-08-03 04:00:00,Jacksonville,187.5
2025-08-03 04:00:00,Kansas City,400.0
2025-08-03 04:00:00,Las Vegas,130.0
2025-08-03 04:00:00,Los Angeles C,285.0
2025-08-03 04:00:00,Los Angeles R,289.99999999999994
2025-08-03 04:00:00,Miami,
2025-08-03 04:00:00,Minnesota,265.0
2025-08-03 04:00:00,New England,182.14285714285717
2025-08-03 04:00:00,New Orleans,
2025-08-03 04:00:00,New York G,65.0
2025-08-03 04:00:00,New York J,97.5
2025-08-03 04:00:00,Philadelphia,
2025-08-03 04:00:00,Pittsburgh,210.0
2025-08-03 04:00:00,San Francisco,
2025-08-03 04:00:00,Seattle,180.0
2025-08-03 04:00:00,Tampa Bay,284.99999999999994
2025-08-03 04:00:00,Tennessee,98.33333333333334
2025-08-03 04:00:00,Washington,
2025-08-04 04:00:00,Arizona,210.0
2025-08-04 04:00:00,Atlanta,
2025-08-04 04:00:00,Baltimore,
2025-08-04 04:00:00,Buffalo,420.0
2025-08-04 04:00:00,Carolina,
2025-08-04 04:00:00,Chicago,190.0
2025-08-04 04:00:00,Cincinnati,280.00000000000006
2025-08-04 04:00:00,Cleveland,
2025-08-04 04:00:00,Dallas,170.0
2025-08-04 04:00:00,Denver,260.0
2025-08-04 04:00:00,Detroit,345.0
2025-08-04 04:00:00,Green Bay,275.00000000000006
2025-08-04 04:00:00,Houston,289.99999999999994
2025-08-04 04:00:00,Indianapolis,160.0
2025-08-04 04:00:00,Jacksonville,185.0
2025-08-04 04:00:00,Kansas City,400.0
2025-08-04 04:00:00,Las Vegas,130.0
2025-08-04 04:00:00,Los Angeles C,280.0
2025-08-04 04:00:00,Los Angeles R,289.99999999999994
2025-08-04 04:00:00,Miami,
2025-08-04 04:00:00,Minnesota,250.0
2025-08-04 04:00:00,New England,184.28571428571422
2025-08-04 04:00:00,New Orleans,
2025-08-04 04:00:00,New York G,65.0
2025-08-04 04:00:00,New York J,95.0
2025-08-04 04:00:00,Philadelphia,
2025-08-04 04:00:00,Pittsburgh,210.0
2025-08-04 04:00:00,San Francisco,
2025-08-04 04:00:00,Seattle,180.0
2025-08-04 04:00:00,Tampa Bay,283.57142857142856
