timestamp,team_name,value
2025-08-01 04:00:00,Arizona,
2025-08-01 04:00:00,Atlanta,
2025-08-01 04:00:00,Baltimore,
2025-08-01 04:00:00,Buffalo,
2025-08-01 04:00:00,Carolina,
2025-08-01 04:00:00,Chicago,
2025-08-01 04:00:00,Cincinnati,
2025-08-01 04:00:00,Cleveland,
2025-08-01 04:00:00,Dallas,34.0
2025-08-01 04:00:00,Denver,52.0
2025-08-01 04:00:00,Detroit,
2025-08-01 04:00:00,Green Bay,
2025-08-01 04:00:00,Houston,
2025-08-01 04:00:00,Indianapolis,32.0
2025-08-01 04:00:00,Jacksonville,
2025-08-01 04:00:00,Kansas City,76.0
2025-08-01 04:00:00,Las Vegas,
2025-08-01 04:00:00,Los Angeles C,
2025-08-01 04:00:00,Los Angeles R,
2025-08-01 04:00:00,Miami,
2025-08-01 04:00:00,Minnesota,
2025-08-01 04:00:00,New England,36.0
2025-08-01 04:00:00,New Orleans,
2025-08-01 04:00:00,New York G,13.0
2025-08-01 04:00:00,New York J,
2025-08-01 04:00:00,Philadelphia,
2025-08-01 04:00:00,Pittsburgh,
2025-08-01 04:00:00,San Francisco,
2025-08-01 04:00:00,Seattle,36.0
2025-08-01 04:00:00,Tampa Bay,
2025-08-01 04:00:00,Tennessee,
2025-08-01 04:00:00,Washington,
2025-08-02 04:00:00,Arizona,
2025-08-02 04:00:00,Atlanta,
2025-08-02 04:00:00,Baltimore,
2025-08-02 04:00:00,Buffalo,84.0
2025-08-02 04:00:00,Carolina,
2025-08-02 04:00:00,Chicago,
2025-08-02 04:00:00,Cincinnati,56.00000000000001
2025-08-02 04:00:00,Cleveland,
2025-08-02 04:00:00,Dallas,34.0
2025-08-02 04:00:00,Denver,52.0
2025-08-02 04:00:00,Detroit,
2025-08-02 04:00:00,Green Bay,
2025-08-02 04:00:00,Houston,57.99999999999999
2025-08-02 04:00:00,Indianapolis,32.0
2025-08-02 04:00:00,Jacksonville,38.0
2025-08-02 04:00:00,Kansas City,78.0
2025-08-02 04:00:00,Las Vegas,26.0
2025-08-02 04:00:00,Los Angeles C,57.99999999999999
2025-08-02 04:00:00,Los Angeles R,57.99999999999999
2025-08-02 04:00:00,Miami,
2025-08-02 04:00:00,Minnesota,48.0
2025-08-02 04:00:00,New England,36.0
2025-08-02 04:00:00,New Orleans,
2025-08-02 04:00:00,New York G,13.0
2025-08-02 04:00:00,New York J,20.0
2025-08-02 04:00:00,Philadelphia,
2025-08-02 04:00:00,Pittsburgh,44.0
2025-08-02 04:00:00,San Francisco,
2025-08-02 04:00:00,Seattle,36.0
2025-08-02 04:00:00,Tampa Bay,
2025-08-02 04:00:00,Tennessee,20.0
2025-08-02 04:00:00,Washington,
2025-08-03 04:00:00,Arizona,
2025-08-03 04:00:00,Atlanta,
2025-08-03 04:00:00,Baltimore,
2025-08-03 04:00:00,Buffalo,84.0
2025-08-03 04:00:00,Carolina,
2025-08-03 04:00:00,Chicago,
2025-08-03 04:00:00,Cincinnati,56.00000000000001
2025-08-03 04:00:00,Cleveland,
2025-08-03 04:00:00,Dallas,34.0
2025-08-03 04:00:00,Denver,52.0
2025-08-03 04:00:00,Detroit,
2025-08-03 04:00:00,Green Bay,
2025-08-03 04:00:00,Houston,57.99999999999999
2025-08-03 04:00:00,Indianapolis,32.0
2025-08-03 04:00:00,Jacksonville,37.5
2025-08-03 04:00:00,Kansas City,80.0
2025-08-03 04:00:00,Las Vegas,26.0
2025-08-03 04:00:00,Los Angeles C,57.0
2025-08-03 04:00:00,Los Angeles R,57.99999999999999
2025-08-03 04:00:00,Miami,
2025-08-03 04:00:00,Minnesota,53.0
2025-08-03 04:00:00,New England,36.42857142857143
2025-08-03 04:00:00,New Orleans,
2025-08-03 04:00:00,New York G,13.0
2025-08-03 04:00:00,New York J,19.5
2025-08-03 04:00:00,Philadelphia,
2025-08-03 04:00:00,Pittsburgh,42.0
2025-08-03 04:00:00,San Francisco,
2025-08-03 04:00:00,Seattle,36.0
2025-08-03 04:00:00,Tampa Bay,56.99999999999999
2025-08-03 04:00:00,Tennessee,19.666666666666668
2025-08-03 04:00:00,Washington,
2025-08-04 04:00:00,Arizona,42.0
2025-08-04 04:00:00,Atlanta,
2025-08-04 04:00:00,Baltimore,
2025-08-04 04:00:00,Buffalo,84.0
2025-08-04 04:00:00,Carolina,
2025-08-04 04:00:00,Chicago,38.0
2025-08-04 04:00:00,Cincinnati,56.00000000000001
2025-08-04 04:00:00,Cleveland,
2025-08-04 04:00:00,Dallas,34.0
2025-08-04 04:00:00,Denver,52.0
2025-08-04 04:00:00,Detroit,69.0
2025-08-04 04:00:00,Green Bay,55.00000000000001
2025-08-04 04:00:00,Houston,57.99999999999999
2025-08-04 04:00:00,Indianapolis,32.0
2025-08-04 04:00:00,Jacksonville,37.0
2025-08-04 04:00:00,Kansas City,80.0
2025-08-04 04:00:00,Las Vegas,26.0
2025-08-04 04:00:00,Los Angeles C,56.0
2025-08-04 04:00:00,Los Angeles R,57.99999999999999
2025-08-04 04:00:00,Miami,
2025-08-04 04:00:00,Minnesota,50.0
2025-08-04 04:00:00,New England,36.85714285714285
2025-08-04 04:00:00,New Orleans,
2025-08-04 04:00:00,New York G,13.0
2025-08-04 04:00:00,New York J,19.0
2025-08-04 04:00:00,Philadelphia,
2025-08-04 04:00:00,Pittsburgh,42.0
2025-08-04 04:00:00,San Francisco,
2025-08-04 04:00:00,Seattle,36.0
2025-08-04 04:00:00,Tampa Bay,56.71428571428571
